emp_no,first_name,last_name,salary,salary_from_dt,title
93495,Lunjin,Gill,41835,1987-09-12,Senior Engineer
93509,Lijie,Perl,40000,1985-12-09,Senior Engineer
93512,Rutger,Ramras,44544,1988-05-09,Senior Engineer
93519,Bartek,Kolinko,58520,1986-11-02,Senior Engineer
93520,Angel,Unni,43894,1990-11-15,Senior Staff
93536,Zhonghua,Zongker,54589,1985-07-20,Senior Engineer
93539,Stevo,Heystek,73867,1988-10-04,Senior Staff
93540,Vitali,Thebaut,40000,1988-02-01,Engineer
93551,Sanjay,Shrader,72440,1986-06-23,Senior Staff
93553,Maris,Swist,66269,1986-10-19,Senior Staff
93561,Mario,Takkinen,80036,1989-06-14,Senior Staff
93576,Xuedong,Thorensen,70898,1985-06-17,Senior Staff
93742,Shay,Ushiama,65129,1986-11-15,Senior Staff
93745,Mandell,Schrooten,41972,1992-04-15,Senior Engineer
93747,Martina,Christ,54442,1992-10-04,Senior Engineer
93634,Dietrich,Chelton,53040,1986-01-06,Senior Staff
93754,Xianlong,Ernst,51626,1997-08-24,Staff
93763,Kazuhisa,Jullig,82505,1988-02-09,Senior Staff
93778,Genki,Waterhouse,41371,1987-03-04,Senior Engineer
93785,Francesca,VanScheik,45564,1988-06-17,Senior Engineer
93653,Filipp,Greenaway,40000,1986-03-15,Senior Staff
93796,Zhonghua,Armand,46673,1987-02-03,Senior Engineer
93798,Monique,Azumi,68796,1987-03-02,Senior Engineer
93813,Giordano,Janetzko,66154,1988-10-31,Senior Staff
93670,Djelloul,Pulkowski,54647,1985-08-27,Technique Leader
93825,Rosella,Mitsuhashi,83974,1985-08-23,Senior Engineer
93682,Mari,Mukaidono,40408,1992-02-26,Senior Engineer
93846,Parke,Bratten,44861,1986-08-20,Senior Engineer
93854,Constantine,Rosaz,40000,1988-11-06,Senior Engineer
93686,Zhiwei,Radivojevic,40000,1988-07-22,Senior Staff
93869,Lijie,Maccarone,42219,1987-06-08,Senior Engineer
93718,Moie,Kropf,40000,1988-08-03,Senior Staff
93721,Supot,Isaak,50876,1985-03-13,Senior Engineer
93887,Zdislav,Sidou,40000,1990-05-03,Senior Engineer
93722,Tetsurou,Kavraki,58350,1985-03-22,Senior Staff
93729,Maik,Sadowsky,40000,1997-04-18,Senior Staff
93730,Aemilian,Noriega,57937,1987-12-08,Senior Staff
93915,Genevieve,Waymire,40000,2000-01-29,Engineer
93921,Chuanti,Driscoll,51567,1989-05-27,Senior Engineer
93735,Bernice,Krichel,51788,1988-07-15,Senior Engineer
93928,Tomoyuki,Axelband,97546,1995-09-24,Staff
93932,Giap,Parveen,67638,1987-10-09,Senior Staff
94028,Bernt,Fraisse,58868,1985-10-11,Senior Staff
93938,Boutros,Veeraraghavan,117948,1999-08-09,Staff
93942,Thanasis,Tiemann,40000,1993-05-26,Senior Engineer
93947,Toshiki,Heyers,40553,1997-03-08,Engineer
93958,Morrie,Cyre,40000,1986-01-08,Senior Staff
93960,Xianlong,Seghrouchni,79786,1985-04-23,Senior Staff
93964,Shimshon,Chelton,47440,1988-05-21,Senior Staff
93975,Gererd,Calkin,50598,1993-01-13,Senior Staff
93976,Demin,Dengi,43871,1988-11-08,Senior Staff
94030,Masato,Shobatake,40000,1998-07-03,Assistant Engineer
93984,Saniya,Journel,40000,1986-03-07,Senior Staff
93986,Elzbieta,Perry,74080,1987-03-25,Senior Staff
94032,Jinya,Katiyar,49006,1992-08-28,Senior Engineer
93995,Saeed,Luon,40000,1997-11-19,Senior Engineer
94034,Vasilis,Riesenhuber,40000,1991-02-28,Engineer
94008,Sumali,Itzfeldt,71411,1992-08-03,Senior Staff
94042,Yonghoan,Bruckman,76816,1991-12-10,Senior Staff
94046,Valeska,Nourani,63968,1988-07-07,Senior Staff
94062,Maia,Genther,40000,1986-11-21,Senior Staff
94118,Gina,Ellozy,40000,1987-07-07,Technique Leader
94164,Frazer,Naumovich,59615,1986-09-27,Senior Staff
94170,Bader,Yoshimura,40000,1990-09-16,Senior Staff
94172,Ronnie,Bage,74442,1986-08-05,Senior Staff
94195,Arch,Rabehasaina,40000,1988-10-01,Senior Staff
94200,Mahendra,Michaeli,56983,1987-03-30,Senior Staff
94201,Mana,Fabrizio,57010,1990-10-14,Senior Engineer
94206,Denis,Cooley,57305,1987-02-21,Senior Staff
94208,Kaijung,Lienhardt,56654,1992-10-23,Senior Staff
94210,Ekawit,Pouyioutas,61007,1985-09-29,Senior Staff
94211,Martins,Yurov,41359,1988-12-04,Senior Engineer
94229,Shen,Thambidurai,59707,1990-10-20,Senior Engineer
94120,Limsoon,Ohori,40000,1985-07-28,Senior Engineer
94239,Divier,Rosiles,40000,1987-12-14,Senior Engineer
94142,Weiyi,Avouris,52579,1987-08-22,Senior Engineer
94260,Shooichi,Marquardt,63630,1995-08-27,Engineer
94270,Serge,Heuser,47324,1985-04-21,Senior Staff
94143,Bartek,Argence,40000,1986-05-11,Senior Engineer
94150,Geoffrey,Eiron,81171,1997-11-29,Staff
94281,Rutger,Peres,40000,1987-09-03,Senior Engineer
94285,Goa,Munro,40000,1998-06-29,Engineer
94287,Kiyokazu,Buchter,56942,1985-06-20,Senior Staff
94288,Michaela,Monarch,40168,1995-08-05,Senior Engineer
94156,Kristen,Norsworthy,50660,1985-12-09,Senior Staff
94293,Susuma,Qiwen,40000,1998-03-09,Assistant Engineer
94161,Sajjad,Zuberek,47335,1997-09-12,Senior Staff
94462,Sadegh,Lukaszewicz,64764,1989-09-20,Senior Staff
94309,Tomoyuki,Zobel,58503,1987-04-05,Senior Engineer
94313,Menkae,Birdsall,40000,1985-03-14,Senior Engineer
94320,Kirk,Papsdorf,40000,1987-09-25,Senior Engineer
94322,Ronnie,Moffat,55093,1985-09-29,Senior Engineer
94464,Weicheng,Alameldin,40000,1994-10-19,Staff
94332,Teiji,Sudbeck,70419,1996-09-24,Staff
94465,Huiqun,Dalphin,40000,1992-03-20,Senior Engineer
94341,Bokyung,Serre,43773,1986-11-11,Senior Engineer
94342,Ramalingam,Demizu,40000,1985-05-14,Senior Engineer
94469,Moto,Fendler,50405,1986-09-14,Senior Staff
94354,Aleksandar,Apsitis,43522,1992-07-19,Senior Engineer
94364,Heon,Heping,40000,1995-05-29,Engineer
94480,Remzi,Majewski,46941,1986-10-24,Senior Engineer
94496,Sungwon,Akiyama,40414,1991-03-17,Senior Staff
94388,Zvonko,Denos,48919,1992-07-19,Senior Staff
94516,Toong,Rassart,57736,1989-01-27,Senior Engineer
94405,Ramalingam,Escriba,56322,1995-11-03,Senior Staff
94410,Iara,Schieder,58035,1987-01-15,Senior Staff
94419,Felicidad,Socorro,40000,1985-10-22,Senior Staff
94422,Ayakannu,Fortenbacher,59735,1986-01-14,Senior Staff
94425,Kersti,Nergos,69211,1993-09-07,Senior Staff
94438,Demos,Lueh,40000,1992-06-05,Senior Engineer
94589,Sibyl,Heusch,40000,1999-01-24,Technique Leader
94592,Sven,Boudaillier,52369,1987-07-24,Senior Engineer
94596,Nahid,Biros,45491,1986-02-07,Senior Engineer
94603,Fox,Kuszyk,46637,1987-05-16,Senior Engineer
94606,Berni,Casley,67274,1986-09-13,Senior Staff
94625,Kwangyoen,Kalorkoti,46820,1987-11-14,Senior Engineer
94637,Kazuhira,Terekhov,67951,1990-01-08,Senior Engineer
94658,Basil,Kaelbling,93862,1988-08-07,Senior Staff
94665,Nirmal,Talmon,52641,1993-11-23,Senior Staff
94666,Gudjon,Denti,59634,1985-08-15,Senior Engineer
94667,Naraig,Rebaine,40000,1993-04-26,Senior Staff
94680,Teruyuki,Baja,49933,1988-10-01,Senior Staff
94681,Nigel,Clemencon,45741,1992-01-13,Senior Engineer
94521,Deborah,Schlegelmilch,57799,1985-07-10,Senior Staff
94684,Subbu,Stiles,48058,1998-09-18,Senior Engineer
94525,Sadok,Brookner,40000,1988-05-06,Senior Engineer
94704,Rimon,Thombley,43336,1985-06-07,Senior Engineer
94531,Kannan,Bahl,49858,1985-03-05,Senior Staff
94709,Brewster,Lemarechal,40000,1989-02-11,Senior Engineer
94710,Anneke,Schrooten,79794,1999-01-01,Assistant Engineer
94539,Kerryn,Tyugu,40000,1986-08-24,Senior Staff
94574,Abdelghani,Dulli,41871,1985-09-09,Senior Staff
94732,Heping,Eiter,40673,1991-01-11,Technique Leader
94734,Bingning,Anguita,70247,1987-12-01,Senior Engineer
94735,Rosine,Peak,45032,1988-01-23,Senior Engineer
94736,Visit,Trelles,40000,1993-06-14,Senior Staff
94743,Jinxi,Reinhard,51818,1991-02-06,Technique Leader
94745,Genki,Leslie,40000,1997-08-27,Senior Engineer
94582,Willard,Baar,56843,1986-02-16,Senior Engineer
94769,Guozhong,Montemayor,41393,1986-10-27,Senior Engineer
94885,Vidya,Detkin,41658,1993-08-18,Engineer
94775,Moie,Kilgore,77750,1989-03-20,Senior Staff
94815,Kwun,Dusink,46691,1986-07-14,Technique Leader
94890,Mayuri,Piancastelli,70621,1987-05-10,Senior Staff
94822,Marit,Parascandalo,64435,1999-12-16,Staff
94828,Anoosh,Dahlbom,40000,1986-04-25,Senior Staff
94898,Kristof,Vandervoorde,40849,1991-09-24,Senior Engineer
94833,Miyeon,Kleiser,74499,1985-04-01,Senior Staff
94838,Howell,Czap,56605,1990-10-17,Senior Staff
94900,Atilio,Zyda,40000,1996-04-09,Assistant Engineer
94849,Shao,Koshino,74677,1987-06-26,Technique Leader
94914,Ranan,Preusig,88459,1988-12-27,Senior Staff
94862,Gro,Baek,40000,1988-07-11,Senior Staff
94864,Boriana,Cronin,55708,1987-05-18,Senior Engineer
94871,Kasidit,Chenney,94395,1996-04-09,Senior Staff
94918,Domenico,Pews,40000,1993-11-04,Staff
94920,Gretta,Birrer,40000,1986-09-17,Senior Engineer
94922,Shaowen,Neimat,66493,1988-07-05,Technique Leader
94935,Christophe,Wynblatt,66082,1986-07-16,Senior Engineer
94950,Duke,Hofman,40000,1986-04-01,Senior Staff
95036,Christfried,Sessa,73520,1986-11-26,Senior Engineer
95046,Bogdan,Spinelli,62929,1987-08-14,Senior Staff
95056,Serif,Terekhov,40000,1988-02-21,Senior Staff
94957,Roselyn,Genther,44504,1987-04-14,Senior Engineer
95071,Toney,Isaak,71327,1988-11-04,Senior Staff
94987,Kazuhira,Berendt,40793,1994-11-20,Engineer
95085,Rosella,Hasham,59923,1986-02-21,Senior Staff
94988,Martina,Improta,40000,1987-12-11,Senior Engineer
95116,Oguz,Lorys,40000,1986-03-03,Senior Staff
94998,Goh,Koblitz,40000,1987-01-31,Senior Engineer
95133,Shiv,Strandh,40000,1992-07-27,Senior Engineer
95000,Mario,Weiland,44372,1986-04-17,Technique Leader
95147,Shietung,Gecsel,40000,1985-06-25,Senior Engineer
95001,Berhard,Kalloufi,63565,1994-01-06,Senior Staff
95152,Sarita,Riefers,53183,1997-08-29,Staff
95003,Eberhardt,Baba,40000,1987-08-06,Senior Engineer
95294,Dulce,Bain,59900,1986-07-13,Senior Engineer
95153,Guangming,Kawashima,57490,1985-12-16,Senior Engineer
95159,Yechiam,Kusalik,54297,1985-07-08,Senior Staff
95317,Srinidhi,Rosis,67675,1987-02-05,Senior Staff
95190,Elgin,Onuegbe,40000,1989-09-22,Senior Staff
95200,Guenter,Kalefeld,56950,1985-10-13,Senior Engineer
95322,Remzi,Demizu,66323,1987-12-13,Senior Staff
95212,Feipei,Kobara,40000,1988-11-11,Senior Staff
95219,Shaw,Porenta,62262,1986-04-05,Senior Engineer
95323,Patricia,Makinen,40000,1986-03-21,Senior Engineer
95223,Torsten,Quittner,40000,1996-07-26,Engineer
95346,Jouko,Heering,70408,1988-01-21,Senior Staff
95232,Atreyi,Ernst,40000,1998-12-25,Engineer
95248,Tsuneo,Akaboshi,41712,1987-12-10,Senior Staff
95256,Xiaocheng,Hennings,40000,1986-05-15,Senior Staff
95362,Yonghong,Zyda,64753,1994-12-24,Senior Staff
95257,Shih,Ratzlaff,40000,1985-04-06,Technique Leader
95277,Gina,Gist,43492,1987-09-13,Senior Engineer
95278,Roselyn,Seghrouchni,40000,1990-02-14,Senior Engineer
95365,Xuejia,Sichman,40000,1986-06-20,Senior Engineer
95281,Kensyu,Savasere,67202,1986-02-05,Senior Staff
95283,Kwee,Peak,47865,1991-05-21,Senior Staff
95285,Dipayan,Muhling,78422,1998-06-13,Engineer
95368,Arco,Sichman,45031,1986-01-05,Technique Leader
95289,Teunis,Coombs,43027,1989-05-19,Senior Engineer
95376,Vishu,Docker,59216,1985-11-23,Senior Engineer
95389,Lunjin,Lund,73560,1986-09-13,Senior Engineer
95393,Udaiprakash,Magliocco,40000,1985-05-02,Engineer
95405,Phillip,Ellozy,68430,1987-04-18,Senior Staff
95427,George,Braunmuhl,40000,1988-06-06,Senior Staff
95452,Almudena,Rissland,40000,1988-04-01,Senior Staff
95460,Bedir,Oskamp,40000,1999-04-06,Engineer
95470,Roddy,Gajiwala,66763,1990-06-22,Senior Staff
95473,Roselyn,Wallrath,49930,1988-03-15,Senior Engineer
95474,Guiseppe,Akazan,40000,1986-04-22,Senior Staff
95428,Shuzo,Conde,72748,1985-08-09,Senior Staff
95431,Anyuan,Braunmuhl,50083,1988-04-03,Senior Engineer
95487,Val,Khamsi,40000,1987-04-02,Senior Engineer
95584,Arumugam,Herbst,56631,1989-10-14,Senior Engineer
95503,Pranay,Pulkowski,40000,1986-03-13,Senior Engineer
95505,Tsz,Cooley,61163,1986-10-03,Senior Staff
95510,Mototsugu,Christ,50472,1999-04-29,Senior Engineer
95511,Sedat,Salvesen,40000,1988-01-21,Senior Staff
95520,Jingling,Birsak,51994,1986-07-27,Senior Engineer
95541,Chinho,Whitcomb,40000,1993-06-17,Senior Engineer
95549,Arun,Sooriamurthi,64973,1987-11-12,Senior Staff
95558,Vasiliy,Etalle,44781,1988-06-03,Senior Engineer
95564,Elliott,Kading,46279,1993-08-06,Senior Staff
95570,Gregory,Kadhim,43107,1987-10-17,Senior Staff
95735,Mircea,Rande,50505,1988-10-26,Senior Engineer
95736,Nahum,Glinert,47079,1991-08-06,Senior Engineer
95743,Nikolaos,Selvestrel,68483,1987-09-25,Senior Staff
95746,Piyawadee,Rodham,55627,1986-03-14,Senior Staff
95767,Muzhong,Schmiedel,40000,1985-02-02,Senior Engineer
95772,Ziva,Sinicrope,72147,1992-02-10,Senior Engineer
95775,Nobuyoshi,Kading,40000,1989-04-01,Senior Staff
95786,Dharmaraja,Peral,57491,1985-09-25,Senior Engineer
95787,Chinhyun,Lueh,76187,1987-06-17,Senior Engineer
95798,Berry,Stemann,50007,1988-10-22,Technique Leader
95804,Otmar,Luce,47038,1987-11-06,Technique Leader
95820,Hyuckchul,Perri,40000,1991-05-25,Senior Engineer
95822,Divine,Teitelbaum,40000,1999-07-09,Engineer
95835,Mori,Rajcani,40134,1986-12-23,Senior Engineer
95841,Mamdouh,Kampfer,40307,1987-06-22,Senior Staff
95853,Manton,Flasterstein,40000,1996-12-21,Engineer
95866,Kitty,Angot,79443,1992-02-19,Senior Staff
95867,Shakhar,Meszaros,49712,1985-02-02,Senior Staff
95883,Eirik,Koshiba,60942,1987-05-15,Senior Staff
95886,Gift,Hanratty,40000,1987-07-17,Senior Staff
95890,Leni,Baba,40000,1999-06-10,Engineer
95891,Jinya,Mondadori,46470,1988-04-07,Senior Engineer
95893,Aleksander,Ossenbruggen,50783,1986-03-28,Senior Engineer
95898,Brewster,Schaad,41703,1992-02-04,Senior Engineer
95902,Adin,Mikschl,81491,1986-09-02,Senior Staff
95923,Richard,Rijsenbrij,40000,1996-02-24,Senior Engineer
95939,Kiyokazu,Ozeri,66962,1985-03-29,Senior Staff
95943,Guozhong,Luit,63618,1985-05-28,Senior Staff
95946,Kellie,Ertl,55774,1985-02-20,Senior Staff
95969,Quingbo,Schwaller,55583,1988-08-27,Senior Engineer
95985,Subbu,Orsini,41423,1986-07-26,Senior Engineer
95992,Hirochika,Jenevein,42134,1988-09-17,Senior Engineer
95999,Owen,Murillo,89717,1997-10-22,Senior Staff
96010,Masanao,Peron,69012,1994-05-01,Senior Staff
96016,Giao,Falco,58445,1993-03-26,Senior Engineer
96046,Urs,Alpin,40000,1985-06-02,Senior Staff
96059,Valter,Mandell,40000,1986-05-24,Senior Engineer
96069,Yahiko,Einsfeld,47381,1997-10-03,Senior Staff
96083,Khalil,Muchinsky,47965,1993-06-03,Senior Staff
96084,Hauke,Piazza,69820,1995-06-22,Senior Staff
96085,Shin,Leuchs,55650,1985-06-11,Senior Engineer
96099,Roded,Ritzmann,63686,1991-06-27,Senior Engineer
96107,Luise,Geffroy,53122,1987-07-06,Senior Engineer
96108,Hatsukazu,Krychniak,50955,1992-04-29,Senior Engineer
96109,Jasminko,Chappelet,77982,1988-09-13,Senior Staff
96122,Muzhong,Onuegbe,87889,1987-11-16,Senior Staff
96124,Guenter,Benantar,55624,1988-12-14,Senior Engineer
96129,Aloys,Alvarado,66470,1986-06-23,Senior Engineer
96132,Sachem,Wroclawski,40147,1995-05-03,Engineer
96138,Lidong,Ghalwash,40000,1995-07-13,Senior Engineer
96139,Constantijn,Pell,40993,1986-02-09,Senior Engineer
96157,Kwangyoen,Haldar,40000,1985-10-14,Senior Staff
96161,Hugh,Riesenhuber,51915,1988-09-01,Senior Engineer
96162,Tokuyasu,Dehkordi,40000,1985-08-31,Senior Staff
96169,Roselyn,Bharadwaj,49904,1999-08-21,Senior Engineer
96174,Aral,Junot,58482,1987-12-23,Senior Staff
95601,Vincent,Guting,94574,1986-09-06,Senior Staff
96196,Berthier,Zambonelli,45838,1994-07-30,Senior Engineer
96197,Yechiam,Himler,40000,1987-02-14,Senior Engineer
96201,Suvo,Guting,49635,1986-03-07,Senior Engineer
96224,Manu,Panienski,40000,1985-10-06,Senior Staff
95602,Shounak,Litvinov,53992,1986-07-16,Senior Staff
95625,Bogdan,Negoita,48311,1985-05-04,Senior Engineer
95644,Oddvar,Cusworth,40000,1993-07-05,Senior Staff
96276,Luisa,Wossner,40000,1988-11-22,Senior Staff
95645,Sudharsan,Binkley,66241,1985-06-11,Senior Staff
95647,Francoise,Cheshire,63045,1990-09-01,Senior Engineer
95662,Martien,Spell,43669,1987-05-15,Senior Engineer
96298,Martial,Marakhovsky,63321,1998-04-02,Staff
95670,Shaleah,Krybus,59473,1998-06-03,Staff
96299,Cullen,Perko,40000,1985-03-04,Senior Staff
96304,Kristof,Stassinopoulos,40227,1996-10-19,Senior Staff
96308,Nigel,Aingworth,94821,1985-02-02,Senior Staff
96311,Candido,Riesenhuber,51609,1988-01-06,Senior Engineer
95696,Akemi,Schaft,45811,1998-09-04,Engineer
96318,Berhard,Andreotta,41305,1985-10-23,Senior Staff
96324,Alejandro,Bharadwaj,58158,1985-05-01,Senior Engineer
96341,Nidapan,Ranai,45843,1987-01-08,Senior Staff
96342,Pranjal,Manders,42157,1989-01-18,Senior Engineer
95702,Nakhoon,Gargeya,40000,1987-04-28,Senior Engineer
96346,Gian,Pettis,70496,1997-11-17,Engineer
95714,Doohun,Kaiserswerth,40000,1994-12-07,Engineer
96371,Gunilla,Wilharm,56363,1988-03-09,Senior Staff
96432,Taisook,Raoux,40000,1994-03-22,Senior Engineer
96376,Sachio,Stassinopoulos,40000,1985-09-20,Technique Leader
96405,Subbu,Barreiro,65706,1998-04-11,Engineer
96433,Mantis,Vecchio,45865,1999-02-03,Engineer
96417,Bouchung,Akiyama,40000,1987-08-02,Senior Staff
96440,Guangming,Skogmar,65331,1995-11-24,Senior Staff
96459,Bojan,Matheson,44096,1986-12-02,Senior Staff
96499,Arvin,Mitina,72165,1988-08-02,Technique Leader
96587,Yaghout,Kobara,40000,1985-12-11,Senior Engineer
96592,Persi,Shiratori,42461,1990-03-27,Senior Engineer
96599,Kwee,Salverda,40000,1986-08-01,Senior Engineer
96603,Zissis,Markovitch,54523,1994-08-14,Senior Staff
96506,Ferdinand,Schicker,40000,1998-08-30,Senior Engineer
96604,Jiong,Panienski,70970,1990-05-24,Senior Engineer
96609,Bowen,Kemmerer,40000,1985-04-20,Senior Engineer
96617,Shirish,Peak,86569,1991-02-02,Senior Staff
96629,Arie,Reutenauer,51436,1987-03-08,Senior Engineer
96630,Danai,Porenta,82761,1992-01-31,Senior Staff
96646,Kiam,Shobatake,44423,1996-11-11,Staff
96648,Josyula,Perez,69830,1993-08-08,Senior Staff
96649,Ishfaq,Veeraraghavan,48990,1991-01-13,Senior Engineer
96673,Hironobu,Oxman,44900,1993-03-16,Senior Engineer
96689,Emdad,Roohalamini,40000,1994-06-06,Senior Engineer
96704,Baziley,Koshino,42073,1991-10-09,Senior Engineer
96717,Christophe,Vanwelkenhuysen,64267,1986-08-05,Senior Engineer
96724,Kyoichi,Litzler,65437,1988-09-19,Senior Engineer
96735,Zejun,Conti,48842,1990-05-15,Senior Engineer
96753,Claude,Giveon,71816,1986-03-30,Senior Staff
96766,Van,Trachtenberg,40000,1986-10-26,Technique Leader
96769,Arun,Parascandalo,84017,1985-06-22,Senior Staff
96770,Shirish,Solovay,68686,1997-02-24,Senior Staff
96780,Olivera,Heuter,48095,1986-02-16,Senior Staff
96819,Flemming,Petersohn,71896,1994-11-13,Senior Staff
96844,Tommaso,Maliniak,40000,1996-08-30,Engineer
96848,Khalid,Ranst,40000,1993-03-04,Senior Staff
96853,Maha,Rissanen,40000,1985-07-13,Senior Engineer
96865,Josyula,Ulupinar,53282,1985-12-25,Senior Engineer
96897,Xiaobin,Willoner,40000,1994-04-19,Senior Engineer
96900,Dekang,Solovay,40000,1997-11-04,Engineer
96902,Khalil,Ozeki,49927,1989-09-21,Senior Staff
96907,Masamitsu,Hiraishi,69766,1997-04-11,Senior Staff
96911,Hirochika,Jeansoulin,89959,1988-06-11,Senior Staff
96919,Khaled,Granlund,40000,1985-03-10,Senior Staff
96921,Along,Waymire,40000,1987-08-16,Technique Leader
96946,Mikhail,Kakkar,59070,1990-05-13,Senior Staff
96958,Shaowen,Shihab,52620,1985-05-20,Senior Staff
96965,Marjo,Riexinger,62399,1999-10-27,Staff
96977,Mabo,Pavlopoulou,40000,1996-11-07,Engineer
96982,Junsik,Beeson,53084,1994-11-30,Senior Staff
96521,Gro,Imataki,71383,1985-11-18,Senior Staff
96524,George,Brodie,40000,1985-12-10,Technique Leader
96989,Youpyo,Shobatake,58408,1985-11-11,Senior Staff
96534,Fumiyo,Leslie,40000,1986-08-27,Senior Engineer
96996,Hideo,Validov,61983,1987-06-10,Technique Leader
96556,Guttorm,Penn,82186,1985-10-19,Senior Staff
97015,Snehasis,Asser,40000,1985-12-20,Senior Engineer
97038,Sergi,Krider,56332,1989-11-27,Senior Engineer
96560,Parto,Kushner,40000,1998-04-19,Engineer
97045,Hyuncheol,Isaak,40000,1994-11-15,Staff
96562,Abdulah,Ghemri,51945,1987-01-08,Senior Staff
97135,Mechthild,Underwood,54137,1986-01-18,Senior Staff
97077,Subbu,Fontan,40000,1987-04-06,Senior Engineer
97081,Nimmagadda,Covnot,54550,1995-09-24,Staff
97088,Luise,Gronowski,63738,1995-07-29,Technique Leader
97089,Magy,Georg,59183,1986-05-19,Senior Engineer
97091,Juichirou,Frijda,64700,1986-06-30,Senior Engineer
97136,Bartek,Clouatre,42860,1987-09-28,Senior Engineer
97099,Chinya,Kaiserswerth,53077,1986-07-10,Senior Engineer
97104,Chiranjit,Ashish,60436,1995-04-23,Senior Engineer
97141,Shaowei,Jording,50302,1998-07-29,Senior Engineer
97114,Paraskevi,Monkewich,59226,1985-04-07,Senior Engineer
97184,Geoffry,Perl,40231,1987-10-25,Senior Engineer
97122,Yoshinari,Cullers,76586,1993-11-27,Senior Staff
97123,Basim,Suppi,46861,1996-01-25,Senior Engineer
97126,Nitsan,Heyers,64243,1998-08-10,Senior Engineer
97194,Dannz,Ozery,56146,1986-09-19,Senior Engineer
97275,Jiakeng,Kemmerer,40000,1985-12-30,Senior Staff
97287,Chanjung,Rajala,40000,1990-03-09,Senior Engineer
97205,Zhenhua,Baar,52186,1988-10-19,Senior Engineer
97208,Leif,Gelosh,58419,1996-09-16,Senior Engineer
97315,Hironoby,Hoogerwoord,40000,1988-02-03,Senior Engineer
97216,Suvo,Waschkowski,92001,1994-01-08,Senior Staff
97223,Zejun,Wuwongse,40000,1985-04-14,Senior Staff
97335,Demin,Haddadi,54629,1986-03-08,Senior Engineer
97340,Vishu,Hiyoshi,82500,1986-09-24,Senior Staff
97341,Foong,Bamford,60251,1993-07-26,Senior Staff
97225,Adam,Erez,40000,1988-05-21,Technique Leader
97354,Piyush,Werthner,40000,1996-12-12,Engineer
97355,Hideo,Warwick,62730,1987-01-04,Senior Engineer
97235,Karsten,Morrin,40000,1999-07-20,Engineer
97366,Mantis,Gimbel,42357,1987-07-05,Engineer
97240,Yongmin,Krogh,73756,1997-01-22,Staff
97374,Kotesh,Strandh,54926,1987-07-25,Senior Staff
97375,Nevio,Hofstetter,64676,1994-03-27,Senior Staff
97241,Maik,Decaestecker,40000,1985-05-29,Senior Engineer
97390,Angus,Masaki,40000,1986-03-20,Senior Engineer
97252,Saniya,Markovitch,40000,1987-04-16,Senior Engineer
97404,Serif,Bennet,64759,1988-12-22,Senior Engineer
97262,Miomir,Esteva,63332,1987-01-14,Senior Engineer
97264,Ennio,Roisin,59002,1992-01-10,Senior Engineer
97571,Guoxiang,Itzigehl,73188,1996-12-02,Senior Engineer
97428,Rildo,Sankaranarayanan,68337,1986-10-08,Senior Engineer
97446,Shietung,Christianini,48118,1987-07-13,Senior Engineer
97452,Krister,Sridhar,40000,1988-04-12,Senior Engineer
97575,Nahum,Maksimenko,40000,1988-10-26,Senior Engineer
97466,Valdiodio,Marwedel,91912,1986-01-07,Senior Staff
97577,Masato,Perna,54210,1988-01-24,Senior Staff
97468,Ramalingam,Barvinok,85738,1991-07-06,Senior Staff
97606,Uzi,Conti,40000,1988-04-14,Senior Engineer
97492,Dante,Schnabel,76119,1988-10-12,Senior Staff
97494,Mariangiola,Daescu,40000,1988-07-15,Senior Engineer
97495,Satyanarayana,Fadgyas,40000,1995-10-16,Senior Engineer
97512,Djelloul,DeMori,40000,1986-06-14,Senior Engineer
97618,Oguz,Dayang,41311,1988-09-18,Senior Engineer
97523,Bikash,Suppi,50418,1987-10-05,Senior Staff
97525,Shih,Krider,67590,1985-03-03,Technique Leader
97620,Duangkaew,Debuse,40000,1987-01-24,Senior Staff
97540,Lubomir,Brodal,40000,1988-12-03,Senior Engineer
97627,Koichi,Ecklund,42391,1988-04-21,Senior Staff
97628,Xiaobin,Luck,40000,1990-07-12,Senior Engineer
97643,Sigeru,Nannarelli,55745,1988-05-13,Senior Engineer
97648,Suvo,Kornyak,49044,1999-06-08,Staff
97694,Girolamo,Cummings,45942,1990-06-16,Senior Engineer
97695,Sreekrishna,Fendler,100779,1986-07-12,Senior Staff
97704,Zhiwei,Imataki,53593,1988-11-29,Senior Staff
97706,Remzi,Erdmenger,51491,1988-01-12,Senior Staff
97723,Gou,Mapelli,65936,1986-03-09,Senior Staff
97724,Jagoda,Pezzoli,40000,1998-10-13,Assistant Engineer
97726,Guther,Veevers,56947,1986-04-16,Senior Staff
97730,Shooichi,Smeets,40000,1993-03-27,Engineer
97740,Stevo,Bernardinello,65137,1985-08-22,Senior Staff
97770,Horward,Keustermans,68732,1985-07-28,Senior Staff
97775,Maren,Mahmud,40000,1987-10-15,Senior Engineer
97781,Divine,Neimat,43812,1987-06-23,Senior Staff
97782,Taiji,Openshaw,40000,1989-02-25,Senior Engineer
97796,Jacopo,Schoegge,52247,1992-07-31,Engineer
97803,Randy,Keirsey,71349,1988-08-28,Senior Staff
97824,Pantung,Yoshimura,40000,1987-09-21,Senior Engineer
97833,Arunachalam,Kuhnemann,40841,1997-11-20,Senior Staff
97843,Barna,Lenart,40000,1999-09-20,Engineer
97848,Takanari,Unni,79179,1987-05-06,Senior Staff
